priority,package,file,key,max_visible_line,line_count,source_max_line,source_line_count,source_en,current_ru
P4,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_130_1,119,1,0,1,,"Этот «Молот Тора» Зудомона, похоже, сделан из чрезвычайно ценного металла, который называют «хромдигизоидным металлом»."
P4,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_130_2,113,1,0,1,,"Похоже, тебе понадобится помощь ЛоадерЛеомона, чтобы добыть руду хромдигизоида, необходимую для его изготовления."
P4,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_340_020_011,113,2,0,1,,"Но что, если Дигимоны появились там, чтобы избавиться от яйца......как антитела, устраняющие инородное вещество -
путешественника во времени?"
P4,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_440_070_025,98,1,0,1,,"Просто дай мне... координ...ты... Я разберусь... с осталь...ым!...Чёрт возьми, это соедине...ие..."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_070_055_1,73,3,0,1,,"Хм... Неужели любовь действительно может изменить человека, интересно...?
Эй, не мог бы ты прийти и немного поговорить? Я буду у себя дома в
центре Центрального города. Просмотреть детали миссии {decision}"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_110_103_1,72,3,0,1,,"Я получил наводку о чём-то подозрительном! Что-то насчёт наблюдений
фазово-электронных форм жизни... Сама наводка тоже звучит подозрительно.
Я дам тебе детали в офисе! Просмотреть детали миссии {decision}"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_090_072_1,71,3,0,1,,"Мне удалось записаться к тому знаменитому предсказателю. Пойдём вместе!
Поспеши в кофейню на Перекрёстке Косю-Кайдо!
Просмотреть детали миссии {decision}"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_090_071_2,70,3,0,1,,"Эй! Ты сейчас свободен? Есть место, которое я хочу проверить, и
мне нужен сопровождающий. Я забронировал время у того предсказателя, о
которой все говорят! Встретимся там!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_seekhiroko_150_010,69,3,0,1,,"Мне снилась скрытая деревня. Она казалась заброшенной, за исключением
того, что там был человек в белом халате, который продолжал улыбаться
и говорить: 'Теперь давай попробуем это...' с упрямой решимостью."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_300_070_011,68,3,0,1,,"У обеих сторон есть причины, по которым они не могут отступить,
и именно когда разные представления о справедливости
сталкиваются, конфликт может принять по-настоящему уродливый оборот."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_200_146_1,68,3,0,1,,"Ещё один человек ушёл. Нам сильно не хватает рабочей силы. Следующее
место — Южный Выход Электрического Города... Может, кто-нибудь даст
мне энергетический напиток? Просмотреть детали миссии {decision}"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_seekhiroko_040_010,68,3,0,1,,"Мне приснился сон, что я плаваю и плаваю в этом великолепном
океане! И у меня никогда не заканчивался воздух, независимо от
того, сколько времени я оставался под водой! Это было ТААААК весело!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_130_1,67,2,0,1,,"Посмотри-ка, тебе удалось победить четверых из моей серии! У тебя с
твоим Дигимоном, должно быть, действительно тесная связь."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_110_113_1,67,3,0,1,,"Мой друг, кажется, замешан в какую-то неприятность. Нужно заглянуть
в задние переулки Акихабары.
Просмотреть детали миссии {decision}"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_900_215_1,67,3,0,1,,"Я обнаружила ещё одно проявление аномального пространства. Я бы
хотела попросить тебя его исследовать. Я буду ждать в Промежуточном
театре. Просмотреть детали миссии {decision}"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,sub_seekhiroko_160_010,67,3,0,1,,"Чувствую, что у меня было так много странных снов! О самых
разных вещах, таких как красивые пейзажи и дно океана! Из них
должны получиться отличные темы для видео! Я должен собрать их все!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_060_080_010,66,1,0,1,,"Эта девушка только что упомянула ""фазово-электронную форму жизни""?"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_310_010_010,65,2,0,1,,"Меркуримон, кажется, перенапрягся. Бедняга слёг с тех пор, как ты
ушёл."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_310_010_020,65,2,0,1,,"Если Меркуримон умрёт... кто будет вести переговоры? Некому будет
сдерживать здесь поджигателей войны."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,arena_010_170,64,3,0,1,,"Эй! Ты не можешь принести стол на арену только для того, чтобы
перевернуть его! Слушай. Позволь мне позаботиться об этой штуке.
Ты иди и заткни парня!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,arena_010_210,64,2,0,1,,"ЛордНайтмон бросил вам вызов встретиться с его Легионом Красоты.
Хотя, по-видимому, ЛордНайтмон - единственный участник..."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,field_02_140_0,64,3,0,1,,"Молния, похоже, притягивается к Дигимону с механическими телами.
Возможно, вы сможете использовать это в своих интересах во время
битвы."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,field_14_020_1,64,2,0,1,,"Обнаружена неизвестная фазово-электронная форма жизни. Возможно,
она что-то знает. Попробуйте установить контакт."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_040_1,64,2,0,1,,"Поздравляю с победой в одной из игр! Жаль, что я не мог увидеть,
как ты это делаешь лично."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_100_1,64,2,0,1,,"Я не могу в это поверить! Ты действительно выложился по полной и
завершил свою первую серию. Поздравляю!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_110_2,64,2,0,1,,"Всего я создал пять типов игр! Это означает, что у тебя есть ещё
три варианта, которые можно попробовать."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_120_2,64,2,0,1,,"Всего я создал пять типов игр! Это означает, что у тебя есть ещё
две разновидности, которые можно попробовать."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_140_1,64,2,0,1,,"Поздравляю с победой во всех последних сериях! Ты, без сомнения,
первоклассный Укротитель."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_00_140_2,64,3,0,1,,"Хотя я действительно хотел бы, чтобы мы могли поговорить с глазу
на глаз, совсем недавно открылись врата обратно в мой родной
мир."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_02_212_10,64,2,0,1,,"Кит, кит! Запрыгивай ко мне на спину и давай поплывём в открытое
море! Йохохо! Веселье ждёт!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_02_213_10,64,2,0,1,,"Я доверю тебе выбрать, куда направить мою мощь. Без сомнения, ты
найдёшь ей хорошее применение."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_02_220_30,64,2,0,1,,"Добро пожаловать! Это Зал Материалов. Сражайтесь в соответствии
со своими текущими способностями и заработайте много материалов!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_02_220_40,64,2,0,1,,"Когда вы устанете и захотите всё бросить, просто выйди за дверь!
Делай столько, сколько хочешь, когда захочешь. Превзойди себя!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_05_510_10,64,3,0,1,,"Я немедленно начну твоё обучение мистическим искусствам!
Совершенно особое мистическое искусство... искусство подружиться
со мной!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_05_515_10,64,2,0,1,,"Хе-хе... Это был отличный напиток. С нетерпением жду возможности
поделиться с вами ещё..."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_08_818_10,64,2,0,1,,"Спасибо, что вытащила меня оттуда! Я отнесу тебя туда, куда тебе
нужно!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_010_2,64,2,0,1,,"Похоже, они понимают человеческую речь. Я попросил их рассказать
мне всё об этом мире."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_040_3,64,3,0,1,,"Похоже, что Дигимоны растут и развиваются, переписывая свои
собственные программы по мере того, как они потребляют различные
виды данных."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_110_3,64,3,0,1,,"Тем не менее, я по-прежнему поражён полиморфизмом Дигимонов. Все
они преобразуются в формы, наиболее подходящие для их среды
обитания."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_140_1,64,3,0,1,,"Они были серьёзно ранены во время добычи полезных ископаемых, но
полностью выздоровели благодаря помощи Венусмон в кратчайшие
сроки."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_180_1,64,2,0,1,,"Дигимон может двигаться с поразительной скоростью. Из тех, что я
видел, Вингдрамон был ослепительно быстр."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,hazama_99_200_2,64,2,0,1,,"Предположительно, они находятся в регионе, называемом Тёмной
Зоной. Я нанесу туда визит, если у меня будет такая возможность."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_060_090_020,64,2,0,1,,"Эти враждебные Дигимоны опасны для людей, но Дигимоны, рождённые
через Конверсию, не проявляют таких черт."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_060_090_070,64,2,0,1,,"Похоже, оно начало расти... да, как раз около восьми лет назад.
Возможно, именно съёмки, проходящие сейчас, и вызвали этот рост."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_070_010_011,64,2,0,1,,"У меня сегодня школа, так что я ушла пораньше. Завтрак на столе.
Угощайся!"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_100_050_012,64,2,0,1,,"...Информация, которая может приблизить нас к истине, стоящей за
аномалией, которая означает конец всего - Аду Синдзюку."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_110_030_010,64,2,0,1,,"Тёмная тень, хм? Звучит знакомо? Мы видели одну на крыше
Токийского столичного правительства как раз перед Адом Синдзюку."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_210_020_090,64,2,0,1,,"Обнаружено огромное количество враждебных Дигимонов! Разберись с
угрозой, пока не стало слишком поздно."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_210_030_010,64,2,0,1,,"Переход к враждебности у этих Дигимонов... Я не думал, что такое
превращение возможно."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_210_030_040,64,3,0,1,,"...инородное вещество, сеющее хаос в мире...? Это может быть
ближе к истине, чем нам хотелось бы... Выйди на улицу и посмотри
вверх."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_230_010_010,64,2,0,1,,"Та история ""Рип Ван Винкль"", упомянутая только что, возможно, на
самом деле произошла от аномалии."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_250_050_011,64,1,0,1,,Не все хотят сражаться. То же самое можно сказать о любой войне.
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_260_080_012,64,3,0,1,,"Большинство этих воинственных Дигимонов потеряли дорогих друзей
из-за Титанов. Так что... можно с уверенностью сказать, что этот
конфликт не основан на логике."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_260_080_013,64,2,0,1,,"Меркуримон пока сдерживает их... но я думаю, что вопрос времени,
когда этот котёл закипит."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_285_070_012,64,2,0,1,,"Есть вещи, которые я тебе ещё не рассказал. Например... как сон,
который у меня был с детства, наконец сбылся."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_290_030_010,64,2,0,1,,"Что-то кажется неправильным. На основе предыдущих данных я решил
установить твоей целью деревню. Тебе следует отправиться туда."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_310_015_010,64,2,0,1,,"Поджигатели войны среди Дигимонов... Звучит как нечто, что может
разжечь пламя конфликта."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_310_015_020,64,2,0,1,,"Похоже, Меркуримон, как лидер, был вынужден прокладывать трудный
курс."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_310_018_020,64,2,0,1,,"Нам всё равно понадобится плод Карпос Хюле... хотя я слышал, что
ранее тебе не удалось его получить..."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_310_020_010,64,2,0,1,,"Был такой аниме, которым я был одержим, когда был студентом, под
названием ""Агент Альфа""."
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_330_000_013,64,2,0,1,,"Он выйдет в любой день, так что жди этого с нетерпением, хорошо,
Инори?"
P3,app_text01,text/digitter_message.mbe/000_Sheet1.csv,main_390_010_030,64,2,0,1,,"Какую уникальную способность получила общественная безопасность?
Кто-то предоставляет им какую-то особую технологию?"
