relative_path,row_id,speaker_id,variant_type,alias_m,alias_f,suggested_speaker_for_M_alias,suggested_speaker_for_F_alias,gender_markers,has_self_pronoun,has_player_pronoun,text
battle.mbe/000_Sheet1.csv,1011030002,char_OPERATOR_M,operator,1011030002_M,1011030002_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Боюсь, этот дигимон не похож ни на одного из тех, с кем
мы сталкивались раньше."
battle.mbe/000_Sheet1.csv,1011030003,char_OPERATOR_M,operator,1011030003_M,1011030003_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Наша работа - защищать мирных жителей от аномалий. Здесь мы не
можем позволить себе совершать какие-либо ошибки."
battle.mbe/000_Sheet1.csv,1011030004,char_OPERATOR_M,operator,1011030004_M,1011030004_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Этот противник явно сильнее других дигимонов...
Тебе разрешено использовать {fc9кросс-арты}."
battle.mbe/000_Sheet1.csv,1011030005,char_OPERATOR_M,operator,1011030005_M,1011030005_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Используй Дигивайс как катализатор: сфокусируй энергию
своего дигимона в одной точке и высвободи её."
battle.mbe/000_Sheet1.csv,1011030006,char_OPERATOR_M,operator,1011030006_M,1011030006_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Сумеешь ли ты завоевать доверие своих союзников,
зависит только от тебя."
battle.mbe/000_Sheet1.csv,1011030007,char_OPERATOR_M,operator,1011030007_M,1011030007_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Все, что мы делаем, мы делаем для защиты человечества от
аномалий. Клянусь честью АДАМАСА, мы должны выстоять!"
battle.mbe/000_Sheet1.csv,1036010020,char_OPERATOR_M,operator,1036010020_M,1036010020_F,char_OPERATOR_F,char_OPERATOR_M,должен,,,"Пэрротмон, кажется, приходит в себя всякий раз, когда в него
попадает молния. Должен быть какой-то способ остановить это..."
battle.mbe/000_Sheet1.csv,1036010021,char_OPERATOR_M,operator,1036010021_M,1036010021_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,Молнии прекратились! Теперь у тебя есть шанс!
battle.mbe/000_Sheet1.csv,1036010022,char_OPERATOR_M,operator,1036010022_M,1036010022_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Молния, приближается!"
battle.mbe/000_Sheet1.csv,1036010023,char_OPERATOR_M,operator,1036010023_M,1036010023_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Похоже, они очень разозлились. Берегись этой молнии!"
battle.mbe/000_Sheet1.csv,1081020001,char_OPERATOR_M,operator,1081020001_M,1081020001_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Что это было?! Титамон нанес удар прежде, чем мы поняли, что
происходит!"
battle.mbe/000_Sheet1.csv,1081020002,char_OPERATOR_M,operator,1081020002_M,1081020002_F,char_OPERATOR_F,char_OPERATOR_M,,yes,yes,"Сейчас я не могу объяснить, что именно произошло! Я
проанализирую ситуацию. Ты пока держись!"
battle.mbe/000_Sheet1.csv,1081020003,char_OPERATOR_M,operator,1081020003_M,1081020003_F,char_OPERATOR_F,char_OPERATOR_M,,yes,,"Слушай внимательно, агент {player}. У меня есть результаты
анализа твоей текущей ситуации."
battle.mbe/000_Sheet1.csv,1081020004,char_OPERATOR_M,operator,1081020004_M,1081020004_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Все признаки указывают на то, что Титамон останавливает время.
Обычно это было бы невозможно... но с сокровищем в его руках..."
battle.mbe/000_Sheet1.csv,1081020005,char_OPERATOR_M,operator,1081020005_M,1081020005_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Титамон, вероятно, заряжает свою силу, пока время остановлено.
Как мы можем противостоять этому...?"
battle.mbe/000_Sheet1.csv,1081020009,char_OPERATOR_M,operator,1081020009_M,1081020009_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"У тебя есть устройство от доктора Симмонс, которое генерирует
специальную электромагнитную сеть, верно?"
battle.mbe/000_Sheet1.csv,1081020010,char_OPERATOR_M,operator,1081020010_M,1081020010_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Очевидно, электромагнитная сеть создает помехи фазовым
электронам. Стоит попробовать прямо перед тем, как Титамон остановит время."
d03.mbe/000_Sheet1.csv,f_d0302_0230_0010,char_OPERATOR_M,operator,f_d0302_0230_0010_M,f_d0302_0230_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Судя по всему... Кажется, что время было отмотано назад."
d03.mbe/000_Sheet1.csv,f_d0302_0230_0020,char_OPERATOR_M,operator,f_d0302_0230_0020_M,f_d0302_0230_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Пожалуйста, продолжай собирать информацию."
d03.mbe/000_Sheet1.csv,f_d0303_0040_0080,char_OPERATOR_M,operator,f_d0303_0040_0080_M,f_d0303_0040_0080_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Точно стоит отпускать Дивер-Мона? В конце концов,
Дивер-Мон - титан."
d03.mbe/000_Sheet1.csv,f_d0303_0040_0090,char_OPERATOR_M,operator,f_d0303_0040_0090_M,f_d0303_0040_0090_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Неясно, можно ли ему доверять. К тому же он бросил тебя
в опасном месте..."
d03.mbe/000_Sheet1.csv,f_d0303_0040_0100,char_OPERATOR_M,operator,f_d0303_0040_0100_M,f_d0303_0040_0100_F,char_OPERATOR_F,char_OPERATOR_M,,,,Не исключай возможности ловушки и не теряй бдительности.
d10.mbe/000_Sheet1.csv,f_d1003_0010_0020,char_OPERATOR_M,operator,f_d1003_0010_0020_M,f_d1003_0010_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Используй способности своего дигимона-партнёра, чтобы
устранить все препятствия на своём пути."
d10.mbe/000_Sheet1.csv,f_d1003_0020_0005,char_OPERATOR_M,operator,f_d1003_0020_0005_M,f_d1003_0020_0005_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Публика часто называет их ""призраками"" или ""монстрами"", но мы
решили определить фазово-электронные формы жизни как ""Дигимоны""."
d10.mbe/000_Sheet1.csv,f_d1003_0020_0010,char_OPERATOR_M,operator,f_d1003_0020_0010_M,f_d1003_0020_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Дигивайс позволяет взаимодействовать с такими существами.
Одна из важных функций - {fc9ДигиАтака} {r2}."
d10.mbe/000_Sheet1.csv,f_d1003_0020_0020,char_OPERATOR_M,operator,f_d1003_0020_0020_M,f_d1003_0020_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Это позволяет тебе приказать союзникам нанести упреждающий
удар по враждебному дигимону. Продолжай. Попробуй."
d14.mbe/000_Sheet1.csv,f_d1401_0040_0010,char_OPERATOR_M,operator,f_d1401_0040_0010_M,f_d1401_0040_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Недавно было обнаружено, что дигимоны обладают свойствами
как органического вещества, так и электрических сигналов."
d14.mbe/000_Sheet1.csv,f_d1401_0040_0020,char_OPERATOR_M,operator,f_d1401_0040_0020_M,f_d1401_0040_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Твой Дигивайс использует электронные аспекты дигимонов, чтобы
призвать их к действию."
d14.mbe/000_Sheet1.csv,f_d1401_0040_0030,char_OPERATOR_M,operator,f_d1401_0040_0030_M,f_d1401_0040_0030_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Дигивайс также может преобразовывать цифровой эквивалент ДНК в
двоичный код, который затем может быть воспроизведен как данные."
d14.mbe/000_Sheet1.csv,f_d1401_0040_0040,char_OPERATOR_M,operator,f_d1401_0040_0040_M,f_d1401_0040_0040_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Мы называем эту систему создания новых дигимонов «{fc9Конвертация}».
Попробуй использовать её для усиления своего отряда."
d14.mbe/000_Sheet1.csv,f_d1401_0060_0010,char_OPERATOR_M,operator,f_d1401_0060_0010_M,f_d1401_0060_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,,Что здесь произошло?..
d14.mbe/000_Sheet1.csv,f_d1401_0060_0015,char_OPERATOR_M,operator,f_d1401_0060_0015_M,f_d1401_0060_0015_F,char_OPERATOR_F,char_OPERATOR_M,была,,,"Может быть, это и есть то, для чего была построена Стена...?"
d14.mbe/000_Sheet1.csv,f_d1401_0060_0020,char_OPERATOR_M,operator,f_d1401_0060_0020_M,f_d1401_0060_0020_F,char_OPERATOR_F,char_OPERATOR_M,сказала,,,"Может быть, что-то происходит на крыше этого здания, как сказала
та девушка..."
d14.mbe/000_Sheet1.csv,f_d1401_0060_0030,char_OPERATOR_M,operator,f_d1401_0060_0030_M,f_d1401_0060_0030_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Мы не можем это игнорировать. Отбрось здравый смысл.
Аномалии всегда преподносят сюрпризы."
d14.mbe/000_Sheet1.csv,f_d1401_0060_0040,char_OPERATOR_M,operator,f_d1401_0060_0040_M,f_d1401_0060_0040_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Цель — крыша здания Столичного правительства Токио.
Первая задача — найти путь наверх."
d14.mbe/000_Sheet1.csv,f_d1403_0020_0010,char_OPERATOR_M,operator,f_d1403_0020_0010_M,f_d1403_0020_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,Твой Дигивайс также обладает функцией «{fc9Анализ}»{l2}.
d14.mbe/000_Sheet1.csv,f_d1403_0020_0020,char_OPERATOR_M,operator,f_d1403_0020_0020_M,f_d1403_0020_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Он мгновенно сканирует твоё окружение и отмечает всё
подозрительное. В этом помогают дигимоны из твоего Дигивайса."
d14.mbe/000_Sheet1.csv,f_d1403_0020_0030,char_OPERATOR_M,operator,f_d1403_0020_0030_M,f_d1403_0020_0030_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Их зрение и обоняние помогают точно находить проблемные места.
Полезная функция, если не знаешь, куда идти."
d14.mbe/000_Sheet1.csv,f_d1405_0040_0010,char_OPERATOR_M,operator,f_d1405_0040_0010_M,f_d1405_0040_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Позволь рассказать тебе о {fc9эволюции}.
Основы этой теории заложил твой приёмный отец..."
d14.mbe/000_Sheet1.csv,f_d1405_0040_0020,char_OPERATOR_M,operator,f_d1405_0040_0020_M,f_d1405_0040_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,,"...Доктор Юки, основатель ADAMAS. Он называл фазово-электронные
формы жизни «полукибернетическими существами»."
d14.mbe/000_Sheet1.csv,f_d1405_0040_0030,char_OPERATOR_M,operator,f_d1405_0040_0030_M,f_d1405_0040_0030_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Исследования доктора Юки были проигнорированы в академических
кругах, но были продолжены единомышленниками в организации."
d14.mbe/000_Sheet1.csv,f_d1405_0040_0040,char_OPERATOR_M,operator,f_d1405_0040_0040_M,f_d1405_0040_0040_F,char_OPERATOR_F,char_OPERATOR_M,,,,"И это исследование привело к открытию эволюции. По мере
того, как Дигимоны набираются боевого опыта, они претерпевают изменения."
d14.mbe/000_Sheet1.csv,f_d1405_0040_0050,char_OPERATOR_M,operator,f_d1405_0040_0050_M,f_d1405_0040_0050_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Возможно, у тебя уже есть несколько дигимонов, готовых
к эволюции. Проверь свой Дигивайс и посмотри."
d14.mbe/000_Sheet1.csv,f_d1407_0050_0010,char_OPERATOR_M,operator,f_d1407_0050_0010_M,f_d1407_0050_0010_F,char_OPERATOR_F,char_OPERATOR_M,,,yes,"Нельзя предсказать, что ждёт тебя впереди. Готовься к худшему
и не забывай о {fc9Конвертации} и {fc9эволюции}."
d14.mbe/000_Sheet1.csv,f_d1407_0050_0020,char_OPERATOR_M,operator,f_d1407_0050_0020_M,f_d1407_0050_0020_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Эти функции основаны на теориях, данных нам доктором Юки. Его
изобретения внесли большой вклад в развитие общества."
d14.mbe/000_Sheet1.csv,f_d1407_0050_0030,char_OPERATOR_M,operator,f_d1407_0050_0030_M,f_d1407_0050_0030_F,char_OPERATOR_F,char_OPERATOR_M,прав,,,"Но о нём мало кто знает: он редко появлялся на публике
и отказался от всех прав на свои разработки..."
d14.mbe/000_Sheet1.csv,f_d1407_0050_0040,char_OPERATOR_M,operator,f_d1407_0050_0040_M,f_d1407_0050_0040_F,char_OPERATOR_F,char_OPERATOR_M,,,,"Он вложил свои личные средства в создание АДАМАСА, чтобы
защитить человечество от угрозы аномалий."
