kind,speaker_id,relative_path,row_id,word,context,text
latin,char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1011030004,fc,Этот противник явно сильнее других дигимонов... / Вам разрешено использовать {fc9кросс-арты}.,"Этот противник явно сильнее других дигимонов...
Вам разрешено использовать {fc9кросс-арты}."
latin,char_OPERATOR_M,message/battle.mbe/000_Sheet1.csv,1081020003,player,"Слушайте внимательно, агент {player}. У меня есть результаты / анализа вашей текущей ситуации.","Слушайте внимательно, агент {player}. У меня есть результаты
анализа вашей текущей ситуации."
latin,char_OPERATOR_M,message/d10.mbe/000_Sheet1.csv,f_d1003_0020_0010,fc,Дигивайс позволяет взаимодействовать с такими существами. / Одна из важных функций - {fc9ДигиАтака} {r2}.,"Дигивайс позволяет взаимодействовать с такими существами.
Одна из важных функций - {fc9ДигиАтака} {r2}."
latin,char_OPERATOR_M,message/d14.mbe/000_Sheet1.csv,f_d1401_0040_0040,fc,Мы называем эту систему создания новых дигимонов «{fc9Конвертация}». / Попробуй использовать её для усиления своего отряда.,"Мы называем эту систему создания новых дигимонов «{fc9Конвертация}».
Попробуй использовать её для усиления своего отряда."
latin,char_OPERATOR_M,message/d14.mbe/000_Sheet1.csv,f_d1403_0020_0010,fc,Твой Дигивайс также обладает функцией «{fc9Анализ}»{l2}.,Твой Дигивайс также обладает функцией «{fc9Анализ}»{l2}.
latin,char_OPERATOR_M,message/d14.mbe/000_Sheet1.csv,f_d1405_0040_0010,fc,Позволь рассказать тебе о {fc9эволюции}. / Основы этой теории заложил твой приёмный отец...,"Позволь рассказать тебе о {fc9эволюции}.
Основы этой теории заложил твой приёмный отец..."
latin,char_OPERATOR_M,message/d14.mbe/000_Sheet1.csv,f_d1406_0010_0010,fc,Позволь рассказать тебе о {fc9эволюции}. Основы этой теории / заложил твой приёмный отец...,"Позволь рассказать тебе о {fc9эволюции}. Основы этой теории
заложил твой приёмный отец..."
latin,char_OPERATOR_M,message/d14.mbe/000_Sheet1.csv,f_d1407_0050_0010,fc,"Невозможно предсказать, что ждёт тебя впереди. Подготовься к худшему / и не забудь про {fc9Конвертацию} и {fc9эволюцию}.","Невозможно предсказать, что ждёт тебя впереди. Подготовься к худшему
и не забудь про {fc9Конвертацию} и {fc9эволюцию}."
latin,char_OPERATOR_M,message/d14.mbe/000_Sheet1.csv,f_d1407_0050_0050,fc,"Никто не способен продолжить его дело лучше тебя — того, кто носит его имя. / В совершенстве овладей {fc9Конвертацией} и {fc9эволюцией}!","Никто не способен продолжить его дело лучше тебя — того, кто носит его имя.
В совершенстве овладей {fc9Конвертацией} и {fc9эволюцией}!"
latin,char_OPERATOR_M,message/field_text.mbe/000_Sheet1.csv,g_tutorial_1001_0010,fc,"Похоже, что дигимон был проанализирован достаточно хорошо и готов / к преобразованию. Попробуйте функцию {fc9Конвертация} прямо сейчас.","Похоже, что дигимон был проанализирован достаточно хорошо и готов
к преобразованию. Попробуйте функцию {fc9Конвертация} прямо сейчас."
latin,char_OPERATOR_M,message/field_text.mbe/000_Sheet1.csv,g_tutorial_1001_0020,fc,"Прямо как однояйцевые близнецы с разными характерами, / у каждого дигимона, похоже, тоже своя {fc9Личность}.","Прямо как однояйцевые близнецы с разными характерами,
у каждого дигимона, похоже, тоже своя {fc9Личность}."
latin,char_OPERATOR_M,message/field_text.mbe/000_Sheet1.csv,g_tutorial_1002_0010,fc,"Я не могу предсказать, что вас ждёт. Будьте готовы к худшему / и не забывайте о {fc9Конвертации} и {fc9эволюции}.","Я не могу предсказать, что вас ждёт. Будьте готовы к худшему
и не забывайте о {fc9Конвертации} и {fc9эволюции}."
latin,char_OPERATOR_M,message/field_text.mbe/000_Sheet1.csv,g_tutorial_1002_0050,fc,"С вашей фамилией «Юки» никто не подходит лучше для воплощения его воли, / так что освойте в совершенстве {fc9Конвертацию} и {fc9эволюцию}!","С вашей фамилией «Юки» никто не подходит лучше для воплощения его воли,
так что освойте в совершенстве {fc9Конвертацию} и {fc9эволюцию}!"
latin,char_OPERATOR_M,message/m010.mbe/000_Sheet1.csv,m010_020_050,player,"Всё ясно, агент {player}?","Всё ясно, агент {player}?"
latin,char_OPERATOR_M,message/m020.mbe/000_Sheet1.csv,m020_050_070,player,"Я рассчитываю на тебя, агент {player}.","Я рассчитываю на тебя, агент {player}."
latin,char_OPERATOR_M,message/m050.mbe/000_Sheet1.csv,m050_010_280,player,"Присылай мне всё, что узнаешь. Рассчитываю на тебя, / агент {player}.","Присылай мне всё, что узнаешь. Рассчитываю на тебя,
агент {player}."
