category,package,file,row_id,column,max_before,max_after,lines_before,lines_after
system_text,patch_text01,text/help_message.mbe/000_Sheet1.csv,help_bgm_06,1,117,73,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,763,1,186,96,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,88,1,153,92,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,86,1,149,89,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,773,1,147,97,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,56,1,139,99,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,762,1,136,95,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,29012,1,126,100,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,771,1,126,98,1,2
explanation,patch_text01,text/item_explanation.mbe/000_Sheet1.csv,780,1,124,93,1,2
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,26042,1,303,96,1,4
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,27496,1,249,97,2,4
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,21941,1,202,98,2,4
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,23152,1,199,94,2,4
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,21782,1,192,99,1,2
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,27383,1,225,95,2,4
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,27381,1,187,97,2,3
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,20372,1,165,100,2,3
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,20802,1,197,99,2,3
explanation,patch_text01,text/skill_explanation.mbe/000_Sheet1.csv,21282,1,156,92,2,3
